"day","cci","quarter","cci_available"
2004-05-25,93.2,2004-04-01,1
2004-05-26,93.2,2004-04-01,1
2004-05-27,93.2,2004-04-01,1
2004-05-28,93.2,2004-04-01,1
2004-05-29,93.2,2004-04-01,1
2004-05-30,93.2,2004-04-01,1
2004-05-31,93.2,2004-04-01,1
2004-06-01,93.2,2004-04-01,1
2004-06-02,93.2,2004-04-01,1
2004-06-03,93.2,2004-04-01,1
2004-06-04,93.2,2004-04-01,1
2004-06-05,93.2,2004-04-01,1
2004-06-06,93.2,2004-04-01,1
2004-06-07,93.2,2004-04-01,1
2004-06-08,93.2,2004-04-01,1
2004-06-09,93.2,2004-04-01,1
2004-06-10,93.2,2004-04-01,1
2004-06-11,93.2,2004-04-01,1
2004-06-12,93.2,2004-04-01,1
2004-06-13,93.2,2004-04-01,1
2004-06-14,93.2,2004-04-01,1
2004-06-15,93.2,2004-04-01,1
2004-06-16,93.2,2004-04-01,1
2004-06-17,93.2,2004-04-01,1
2004-06-18,93.2,2004-04-01,1
2004-06-19,93.2,2004-04-01,1
2004-06-20,93.2,2004-04-01,1
2004-06-21,93.2,2004-04-01,1
2004-06-22,93.2,2004-04-01,1
2004-06-23,93.2,2004-04-01,1
2004-06-24,93.2,2004-04-01,1
2004-06-25,93.2,2004-04-01,1
2004-06-26,93.2,2004-04-01,1
2004-06-27,93.2,2004-04-01,1
2004-06-28,93.2,2004-04-01,1
2004-06-29,97.55,2004-04-01,2
2004-06-30,97.55,2004-04-01,2
2004-07-01,101.9,2004-07-01,0
2004-07-02,101.9,2004-07-01,0
2004-07-03,101.9,2004-07-01,0
2004-07-04,101.9,2004-07-01,0
2004-07-05,101.9,2004-07-01,0
2004-07-06,101.9,2004-07-01,0
2004-07-07,101.9,2004-07-01,0
2004-07-08,101.9,2004-07-01,0
2004-07-09,101.9,2004-07-01,0
2004-07-10,101.9,2004-07-01,0
2004-07-11,101.9,2004-07-01,0
2004-07-12,101.9,2004-07-01,0
2004-07-13,101.9,2004-07-01,0
2004-07-14,101.9,2004-07-01,0
2004-07-15,101.9,2004-07-01,0
2004-07-16,101.9,2004-07-01,0
2004-07-17,101.9,2004-07-01,0
2004-07-18,101.9,2004-07-01,0
2004-07-19,101.9,2004-07-01,0
2004-07-20,101.9,2004-07-01,0
2004-07-21,101.9,2004-07-01,0
2004-07-22,101.9,2004-07-01,0
2004-07-23,101.9,2004-07-01,0
2004-07-24,101.9,2004-07-01,0
2004-07-25,101.9,2004-07-01,0
2004-07-26,101.9,2004-07-01,0
2004-07-27,106.1,2004-07-01,1
2004-07-28,106.1,2004-07-01,1
2004-07-29,106.1,2004-07-01,1
2004-07-30,106.1,2004-07-01,1
2004-07-31,106.1,2004-07-01,1
2004-08-01,106.1,2004-07-01,1
2004-08-02,106.1,2004-07-01,1
2004-08-03,106.1,2004-07-01,1
2004-08-04,106.1,2004-07-01,1
2004-08-05,106.1,2004-07-01,1
2004-08-06,106.1,2004-07-01,1
2004-08-07,106.1,2004-07-01,1
2004-08-08,106.1,2004-07-01,1
2004-08-09,106.1,2004-07-01,1
2004-08-10,106.1,2004-07-01,1
2004-08-11,106.1,2004-07-01,1
2004-08-12,106.1,2004-07-01,1
2004-08-13,106.1,2004-07-01,1
2004-08-14,106.1,2004-07-01,1
2004-08-15,106.1,2004-07-01,1
2004-08-16,106.1,2004-07-01,1
2004-08-17,106.1,2004-07-01,1
2004-08-18,106.1,2004-07-01,1
2004-08-19,106.1,2004-07-01,1
2004-08-20,106.1,2004-07-01,1
2004-08-21,106.1,2004-07-01,1
2004-08-22,106.1,2004-07-01,1
2004-08-23,106.1,2004-07-01,1
2004-08-24,106.1,2004-07-01,1
2004-08-25,106.1,2004-07-01,1
2004-08-26,106.1,2004-07-01,1
2004-08-27,106.1,2004-07-01,1
2004-08-28,106.1,2004-07-01,1
2004-08-29,106.1,2004-07-01,1
2004-08-30,106.1,2004-07-01,1
2004-08-31,102.15,2004-07-01,2
2004-09-01,102.15,2004-07-01,2
2004-09-02,102.15,2004-07-01,2
2004-09-03,102.15,2004-07-01,2
2004-09-04,102.15,2004-07-01,2
2004-09-05,102.15,2004-07-01,2
2004-09-06,102.15,2004-07-01,2
2004-09-07,102.15,2004-07-01,2
2004-09-08,102.15,2004-07-01,2
2004-09-09,102.15,2004-07-01,2
2004-09-10,102.15,2004-07-01,2
2004-09-11,102.15,2004-07-01,2
2004-09-12,102.15,2004-07-01,2
2004-09-13,102.15,2004-07-01,2
2004-09-14,102.15,2004-07-01,2
2004-09-15,102.15,2004-07-01,2
2004-09-16,102.15,2004-07-01,2
2004-09-17,102.15,2004-07-01,2
2004-09-18,102.15,2004-07-01,2
2004-09-19,102.15,2004-07-01,2
2004-09-20,102.15,2004-07-01,2
2004-09-21,102.15,2004-07-01,2
2004-09-22,102.15,2004-07-01,2
2004-09-23,102.15,2004-07-01,2
2004-09-24,102.15,2004-07-01,2
2004-09-25,102.15,2004-07-01,2
2004-09-26,102.15,2004-07-01,2
2004-09-27,102.15,2004-07-01,2
2004-09-28,100.366666666667,2004-07-01,3
2004-09-29,100.366666666667,2004-07-01,3
2004-09-30,100.366666666667,2004-07-01,3
2004-10-01,96.8,2004-10-01,0
2004-10-02,96.8,2004-10-01,0
2004-10-03,96.8,2004-10-01,0
2004-10-04,96.8,2004-10-01,0
2004-10-05,96.8,2004-10-01,0
2004-10-06,96.8,2004-10-01,0
2004-10-07,96.8,2004-10-01,0
2004-10-08,96.8,2004-10-01,0
2004-10-09,96.8,2004-10-01,0
2004-10-10,96.8,2004-10-01,0
2004-10-11,96.8,2004-10-01,0
2004-10-12,96.8,2004-10-01,0
2004-10-13,96.8,2004-10-01,0
2004-10-14,96.8,2004-10-01,0
2004-10-15,96.8,2004-10-01,0
2004-10-16,96.8,2004-10-01,0
2004-10-17,96.8,2004-10-01,0
2004-10-18,96.8,2004-10-01,0
2004-10-19,96.8,2004-10-01,0
2004-10-20,96.8,2004-10-01,0
2004-10-21,96.8,2004-10-01,0
2004-10-22,96.8,2004-10-01,0
2004-10-23,96.8,2004-10-01,0
2004-10-24,96.8,2004-10-01,0
2004-10-25,96.8,2004-10-01,0
2004-10-26,92.8,2004-10-01,1
2004-10-27,92.8,2004-10-01,1
2004-10-28,92.8,2004-10-01,1
2004-10-29,92.8,2004-10-01,1
2004-10-30,92.8,2004-10-01,1
2004-10-31,92.8,2004-10-01,1
2004-11-01,92.8,2004-10-01,1
2004-11-02,92.8,2004-10-01,1
2004-11-03,92.8,2004-10-01,1
2004-11-04,92.8,2004-10-01,1
2004-11-05,92.8,2004-10-01,1
2004-11-06,92.8,2004-10-01,1
2004-11-07,92.8,2004-10-01,1
2004-11-08,92.8,2004-10-01,1
2004-11-09,92.8,2004-10-01,1
2004-11-10,92.8,2004-10-01,1
2004-11-11,92.8,2004-10-01,1
2004-11-12,92.8,2004-10-01,1
2004-11-13,92.8,2004-10-01,1
2004-11-14,92.8,2004-10-01,1
2004-11-15,92.8,2004-10-01,1
2004-11-16,92.8,2004-10-01,1
2004-11-17,92.8,2004-10-01,1
2004-11-18,92.8,2004-10-01,1
2004-11-19,92.8,2004-10-01,1
2004-11-20,92.8,2004-10-01,1
2004-11-21,92.8,2004-10-01,1
2004-11-22,92.8,2004-10-01,1
2004-11-23,92.8,2004-10-01,1
2004-11-24,92.8,2004-10-01,1
2004-11-25,92.8,2004-10-01,1
