"day","pmi","quarter","pmi_available"
1997-03-03,53.1,1997-01-01,1
1997-03-04,53.1,1997-01-01,1
1997-03-05,53.1,1997-01-01,1
1997-03-06,53.1,1997-01-01,1
1997-03-07,53.1,1997-01-01,1
1997-03-08,53.1,1997-01-01,1
1997-03-09,53.1,1997-01-01,1
1997-03-10,53.1,1997-01-01,1
1997-03-11,53.1,1997-01-01,1
1997-03-12,53.1,1997-01-01,1
1997-03-13,53.1,1997-01-01,1
1997-03-14,53.1,1997-01-01,1
1997-03-15,53.1,1997-01-01,1
1997-03-16,53.1,1997-01-01,1
1997-03-17,53.1,1997-01-01,1
1997-03-18,53.1,1997-01-01,1
1997-03-19,53.1,1997-01-01,1
1997-03-20,53.1,1997-01-01,1
1997-03-21,53.1,1997-01-01,1
1997-03-22,53.1,1997-01-01,1
1997-03-23,53.1,1997-01-01,1
1997-03-24,53.1,1997-01-01,1
1997-03-25,53.1,1997-01-01,1
1997-03-26,53.1,1997-01-01,1
1997-03-27,53.1,1997-01-01,1
1997-03-28,53.1,1997-01-01,1
1997-03-29,53.1,1997-01-01,1
1997-03-30,53.1,1997-01-01,1
1997-03-31,53.1,1997-01-01,1
1997-04-01,55,1997-04-01,0
1997-04-02,55,1997-04-01,0
1997-04-03,55,1997-04-01,0
1997-04-04,55,1997-04-01,0
1997-04-05,55,1997-04-01,0
1997-04-06,55,1997-04-01,0
1997-04-07,55,1997-04-01,0
1997-04-08,55,1997-04-01,0
1997-04-09,55,1997-04-01,0
1997-04-10,55,1997-04-01,0
1997-04-11,55,1997-04-01,0
1997-04-12,55,1997-04-01,0
1997-04-13,55,1997-04-01,0
1997-04-14,55,1997-04-01,0
1997-04-15,55,1997-04-01,0
1997-04-16,55,1997-04-01,0
1997-04-17,55,1997-04-01,0
1997-04-18,55,1997-04-01,0
1997-04-19,55,1997-04-01,0
1997-04-20,55,1997-04-01,0
1997-04-21,55,1997-04-01,0
1997-04-22,55,1997-04-01,0
1997-04-23,55,1997-04-01,0
1997-04-24,55,1997-04-01,0
1997-04-25,55,1997-04-01,0
1997-04-26,55,1997-04-01,0
1997-04-27,55,1997-04-01,0
1997-04-28,55,1997-04-01,0
1997-04-29,55,1997-04-01,0
1997-04-30,55,1997-04-01,0
1997-05-01,54.2,1997-04-01,1
1997-05-02,54.2,1997-04-01,1
1997-05-03,54.2,1997-04-01,1
1997-05-04,54.2,1997-04-01,1
1997-05-05,54.2,1997-04-01,1
1997-05-06,54.2,1997-04-01,1
1997-05-07,54.2,1997-04-01,1
1997-05-08,54.2,1997-04-01,1
1997-05-09,54.2,1997-04-01,1
1997-05-10,54.2,1997-04-01,1
1997-05-11,54.2,1997-04-01,1
1997-05-12,54.2,1997-04-01,1
1997-05-13,54.2,1997-04-01,1
1997-05-14,54.2,1997-04-01,1
1997-05-15,54.2,1997-04-01,1
1997-05-16,54.2,1997-04-01,1
1997-05-17,54.2,1997-04-01,1
1997-05-18,54.2,1997-04-01,1
1997-05-19,54.2,1997-04-01,1
1997-05-20,54.2,1997-04-01,1
1997-05-21,54.2,1997-04-01,1
1997-05-22,54.2,1997-04-01,1
1997-05-23,54.2,1997-04-01,1
1997-05-24,54.2,1997-04-01,1
1997-05-25,54.2,1997-04-01,1
1997-05-26,54.2,1997-04-01,1
1997-05-27,54.2,1997-04-01,1
1997-05-28,54.2,1997-04-01,1
1997-05-29,54.2,1997-04-01,1
1997-05-30,54.2,1997-04-01,1
1997-05-31,54.2,1997-04-01,1
1997-06-01,54.2,1997-04-01,1
1997-06-02,55.65,1997-04-01,2
1997-06-03,55.65,1997-04-01,2
1997-06-04,55.65,1997-04-01,2
1997-06-05,55.65,1997-04-01,2
1997-06-06,55.65,1997-04-01,2
1997-06-07,55.65,1997-04-01,2
1997-06-08,55.65,1997-04-01,2
1997-06-09,55.65,1997-04-01,2
1997-06-10,55.65,1997-04-01,2
1997-06-11,55.65,1997-04-01,2
1997-06-12,55.65,1997-04-01,2
1997-06-13,55.65,1997-04-01,2
1997-06-14,55.65,1997-04-01,2
