"day","quarter","pmi","pmi_available","News Sentiment","doq","gdp_gr"
1997-03-03,1997-01-01,53.1,1,0.213798597455025,62,0.643369133807603
1997-03-04,1997-01-01,53.1,1,0.23642510175705,63,0.643369133807603
1997-03-05,1997-01-01,53.1,1,0.236582338809967,64,0.643369133807603
1997-03-06,1997-01-01,53.1,1,0.230016186833382,65,0.643369133807603
1997-03-07,1997-01-01,53.1,1,0.232462495565414,66,0.643369133807603
1997-03-08,1997-01-01,53.1,1,0.245153516530991,67,0.643369133807603
1997-03-09,1997-01-01,53.1,1,0.238081976771355,68,0.643369133807603
1997-03-10,1997-01-01,53.1,1,0.23023883998394,69,0.643369133807603
1997-03-11,1997-01-01,53.1,1,0.22250771522522,70,0.643369133807603
1997-03-12,1997-01-01,53.1,1,0.218393966555595,71,0.643369133807603
1997-03-13,1997-01-01,53.1,1,0.211607277393341,72,0.643369133807603
1997-03-14,1997-01-01,53.1,1,0.207348063588142,73,0.643369133807603
1997-03-15,1997-01-01,53.1,1,0.216074988245964,74,0.643369133807603
1997-03-16,1997-01-01,53.1,1,0.231010094285011,75,0.643369133807603
1997-03-17,1997-01-01,53.1,1,0.224646434187889,76,0.643369133807603
1997-03-18,1997-01-01,53.1,1,0.236902967095375,77,0.643369133807603
1997-03-19,1997-01-01,53.1,1,0.249134242534637,78,0.643369133807603
1997-03-20,1997-01-01,53.1,1,0.236188113689423,79,0.643369133807603
1997-03-21,1997-01-01,53.1,1,0.236235871911049,80,0.643369133807603
1997-03-22,1997-01-01,53.1,1,0.212738797068596,81,0.643369133807603
1997-03-23,1997-01-01,53.1,1,0.22740039229393,82,0.643369133807603
1997-03-24,1997-01-01,53.1,1,0.220131278038025,83,0.643369133807603
1997-03-25,1997-01-01,53.1,1,0.222112953662872,84,0.643369133807603
1997-03-26,1997-01-01,53.1,1,0.238133102655411,85,0.643369133807603
1997-03-27,1997-01-01,53.1,1,0.249430552124977,86,0.643369133807603
1997-03-28,1997-01-01,53.1,1,0.252967774868011,87,0.643369133807603
1997-03-29,1997-01-01,53.1,1,0.275065451860428,88,0.643369133807603
1997-03-30,1997-01-01,53.1,1,0.283240765333176,89,0.643369133807603
1997-03-31,1997-01-01,53.1,1,0.286066681146622,90,0.643369133807603
1997-04-01,1997-04-01,55,0,0.285313665866852,1,1.65150510026741
1997-04-02,1997-04-01,55,0,0.291902244091034,2,1.65150510026741
1997-04-03,1997-04-01,55,0,0.291310220956802,3,1.65150510026741
1997-04-04,1997-04-01,55,0,0.29068648815155,4,1.65150510026741
1997-04-05,1997-04-01,55,0,0.286805093288422,5,1.65150510026741
1997-04-06,1997-04-01,55,0,0.281075924634933,6,1.65150510026741
1997-04-07,1997-04-01,55,0,0.256500333547592,7,1.65150510026741
1997-04-08,1997-04-01,55,0,0.268875777721405,8,1.65150510026741
1997-04-09,1997-04-01,55,0,0.271337777376175,9,1.65150510026741
1997-04-10,1997-04-01,55,0,0.269204050302505,10,1.65150510026741
1997-04-11,1997-04-01,55,0,0.270122677087784,11,1.65150510026741
1997-04-12,1997-04-01,55,0,0.215475752949715,12,1.65150510026741
1997-04-13,1997-04-01,55,0,0.211954057216644,13,1.65150510026741
1997-04-14,1997-04-01,55,0,0.20926995575428,14,1.65150510026741
1997-04-15,1997-04-01,55,0,0.221288949251175,15,1.65150510026741
1997-04-16,1997-04-01,55,0,0.214390933513641,16,1.65150510026741
1997-04-17,1997-04-01,55,0,0.224159479141235,17,1.65150510026741
1997-04-18,1997-04-01,55,0,0.218722701072693,18,1.65150510026741
1997-04-19,1997-04-01,55,0,0.230030938982964,19,1.65150510026741
1997-04-20,1997-04-01,55,0,0.208102628588676,20,1.65150510026741
1997-04-21,1997-04-01,55,0,0.205811932682991,21,1.65150510026741
1997-04-22,1997-04-01,55,0,0.208231538534164,22,1.65150510026741
1997-04-23,1997-04-01,55,0,0.207091599702835,23,1.65150510026741
1997-04-24,1997-04-01,55,0,0.200861752033234,24,1.65150510026741
1997-04-25,1997-04-01,55,0,0.174365609884262,25,1.65150510026741
1997-04-26,1997-04-01,55,0,0.137620896100998,26,1.65150510026741
1997-04-27,1997-04-01,55,0,0.126068994402885,27,1.65150510026741
1997-04-28,1997-04-01,55,0,0.1185322701931,28,1.65150510026741
1997-04-29,1997-04-01,55,0,0.122717835009098,29,1.65150510026741
1997-04-30,1997-04-01,55,0,0.131487548351288,30,1.65150510026741
1997-05-01,1997-04-01,54.2,1,0.151027902960777,31,1.65150510026741
1997-05-02,1997-04-01,54.2,1,0.159337773919106,32,1.65150510026741
1997-05-03,1997-04-01,54.2,1,0.185061931610107,33,1.65150510026741
1997-05-04,1997-04-01,54.2,1,0.194058209657669,34,1.65150510026741
